record_id,program_code,program_name,academic_year,semester,student_count,passed_course_count,attempted_course_count,gpa_point_sum,gpa_student_count,warning_student_count,dropout_risk_student_count,on_track_student_count,progress_evaluated_student_count,updated_at,is_deleted,_source_system,_source_type,_dataset,_schema_version,_ingestion_mode,_batch_id,_source_updated_at,_ingested_at,_record_checksum
DEMO-P004|2025-2026|S1,DEMO-P004,Luật,2025-2026,1,2055,10900,12330,6103.35,2055,29,16,1708,2055,2026-01-15T09:03:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2026-01-15T09:03:00+07:00,2026-09-18T17:05:00+07:00,bacdc5b1fb08e4d50bcc0973e50fec52a6adcedcec4f87b9f2e447023acf1ebe
DEMO-P004|2025-2026|S2,DEMO-P004,Luật,2025-2026,2,2106,11271,12636,6360.12,2106,27,15,1771,2106,2026-07-15T09:03:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2026-07-15T09:03:00+07:00,2026-09-18T17:05:00+07:00,fcc38e369703e6057f1c9cf9f8e43fe27aaca95dd158b23dfd8972f4f0d5c231
DEMO-P005|2024-2025|S2,DEMO-P005,Quản trị kinh doanh,2024-2025,2,2260,12041,13560,6689.6,2260,27,15,1898,2260,2025-07-15T09:04:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2025-07-15T09:04:00+07:00,2026-09-18T17:05:00+07:00,d71cc46a34fa1dc38edd04968087b422438510ab957855a0176fee69006d94a4
DEMO-P005|2025-2026|S1,DEMO-P005,Quản trị kinh doanh,2025-2026,1,2332,12537,13992,7019.32,2332,26,14,1978,2332,2026-01-15T09:04:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2026-01-15T09:04:00+07:00,2026-09-18T17:05:00+07:00,4298157b5e6699d768fc7c1ae5bad10d4b2b903e403d79cff6d86241a1c0787b
DEMO-P005|2025-2026|S2,DEMO-P005,Quản trị kinh doanh,2025-2026,2,2384,12931,14304,7295.04,2384,24,13,2045,2384,2026-07-15T09:04:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2026-07-15T09:04:00+07:00,2026-09-18T17:05:00+07:00,e57f246f7773e0b872a64f6bd91bd60bff3ca6517ca999ff0b84a8e590ab94a3
DEMO-P006|2024-2025|S2,DEMO-P006,Công nghệ thực phẩm,2024-2025,2,975,5277,5850,2934.75,975,21,12,834,975,2025-07-15T09:05:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2025-07-15T09:05:00+07:00,2026-09-18T17:05:00+07:00,a434e55cb7c040183c7033ba7c20c1dcd4b887425597de1ab5dca7cf8e25f246
DEMO-P006|2025-2026|S1,DEMO-P006,Công nghệ thực phẩm,2025-2026,1,1005,5487,6030,3075.3,1005,20,11,867,1005,2026-01-15T09:05:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2026-01-15T09:05:00+07:00,2026-09-18T17:05:00+07:00,f867fa50e5d7aa8bd6aaf9d9722e819db414dfeddf48ff0a012a389d1397d655
DEMO-P006|2025-2026|S2,DEMO-P006,Công nghệ thực phẩm,2025-2026,2,1026,5651,6156,3190.86,1026,19,10,896,1026,2026-07-15T09:05:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2026-07-15T09:05:00+07:00,2026-09-18T17:05:00+07:00,fb7740283f83c9cbe90d9bb636507fdf2422cd07b06b3ce010857f610a2265de
DEMO-P007|2024-2025|S2,DEMO-P007,Ngôn ngữ Anh,2024-2025,2,1120,6122,6720,3449.6,1120,19,9,983,1120,2025-07-15T09:06:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2025-07-15T09:06:00+07:00,2026-09-18T17:05:00+07:00,f356e5d46d86d1a5b5022abb9071135abf217402735eb0ec52c0da706e5776c6
DEMO-P007|2025-2026|S1,DEMO-P007,Ngôn ngữ Anh,2025-2026,1,1155,6369,6930,3615.15,1155,18,9,1023,1155,2026-01-15T09:06:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2026-01-15T09:06:00+07:00,2026-09-18T17:05:00+07:00,0e6cbc1ad431bfb495a0a891767f6e4a9f6080369d27a05b081e3758b6158c8e
DEMO-P007|2025-2026|S2,DEMO-P007,Ngôn ngữ Anh,2025-2026,2,1176,6541,7056,3739.68,1176,17,8,1054,1176,2026-07-15T09:06:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2026-07-15T09:06:00+07:00,2026-09-18T17:05:00+07:00,390428e620e874d975eef028d3116cb11049ee8979244ab23c814e8d0f51727b
DEMO-P008|2024-2025|S2,DEMO-P008,Nuôi trồng thủy sản,2024-2025,2,876,4825,5256,2733.12,876,16,8,780,876,2025-07-15T09:07:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2025-07-15T09:07:00+07:00,2026-09-18T17:05:00+07:00,a768c4141c5562ac0725c4917639d90bff01115bb3ee4af503ec17b446deaea3
DEMO-P008|2025-2026|S1,DEMO-P008,Nuôi trồng thủy sản,2025-2026,1,903,5017,5418,2862.51,903,15,8,811,903,2026-01-15T09:07:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2026-01-15T09:07:00+07:00,2026-09-18T17:05:00+07:00,8b5fcbcebea609a28f9c89ec30c0904dbc6f14fb80ea8f9bcbf369c7de0efb72
DEMO-P008|2025-2026|S2,DEMO-P008,Nuôi trồng thủy sản,2025-2026,2,918,5144,5508,2955.96,918,14,7,834,918,2026-07-15T09:07:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2026-07-15T09:07:00+07:00,2026-09-18T17:05:00+07:00,aa43640f4cc296f7671403dd1f365635326b19ef431b6a28a71b395252624174
DEMO-P009|2024-2025|S2,DEMO-P009,Công nghệ sinh học,2024-2025,2,759,4212,4554,2398.44,759,12,6,686,759,2025-07-15T09:08:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2025-07-15T09:08:00+07:00,2026-09-18T17:05:00+07:00,69075fc410b7dc6d43df02721638172384b04b785e321f61529a0267e159e272
DEMO-P009|2025-2026|S1,DEMO-P009,Công nghệ sinh học,2025-2026,1,783,4383,4698,2513.43,783,12,5,714,783,2026-01-15T09:08:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2026-01-15T09:08:00+07:00,2026-09-18T17:05:00+07:00,cfac8127b2835698845e429fa59ec715b5e12443bc3864dc7da53a15f477d3e1
DEMO-P009|2025-2026|S2,DEMO-P009,Công nghệ sinh học,2025-2026,2,794,4483,4764,2588.44,794,11,5,732,794,2026-07-15T09:08:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2026-07-15T09:08:00+07:00,2026-09-18T17:05:00+07:00,8fd6e59011eb8be3e25595d46ac37612cb0158eeca56f1961b93b77cd0962b65
DEMO-P010|2024-2025|S2,DEMO-P010,Sư phạm Toán học,2024-2025,2,466,2628,2796,1509.84,466,7,2,433,466,2025-07-15T09:09:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2025-07-15T09:09:00+07:00,2026-09-18T17:05:00+07:00,2d255b98fccbd63f7d4c3a072005eaa4bc61d8f751ad1d6720002b892c3a2499
DEMO-P010|2025-2026|S1,DEMO-P010,Sư phạm Toán học,2025-2026,1,480,2730,2880,1579.2,480,6,2,450,480,2026-01-15T09:09:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2026-01-15T09:09:00+07:00,2026-09-18T17:05:00+07:00,c9702b6ee8e7f732130d1c887c0d0ce57ab04e76a96530aaab7328d9ea2b9aa6
DEMO-P010|2025-2026|S2,DEMO-P010,Sư phạm Toán học,2025-2026,2,486,2788,2916,1623.24,486,6,2,460,486,2026-07-15T09:09:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2026-07-15T09:09:00+07:00,2026-09-18T17:05:00+07:00,e331f3cd325d0161171634480821af78b3dcfde75873303acc69296772987772
